,survived,sex,age,sibsp,parch,fare,embarked,boat,body,home.dest,Sex
0,1.0,female,29.0,0.0,0.0,211.3375,2,2,,"St Louis, MO",1.0
1,1.0,male,0.9167,1.0,2.0,151.55,2,11,,"Montreal, PQ / Chesterville, ON",0.0
2,0.0,female,2.0,1.0,2.0,151.55,2,,,"Montreal, PQ / Chesterville, ON",1.0
3,0.0,male,30.0,1.0,2.0,151.55,2,,135.0,"Montreal, PQ / Chesterville, ON",0.0
4,0.0,female,25.0,1.0,2.0,151.55,2,,,"Montreal, PQ / Chesterville, ON",1.0
5,1.0,male,48.0,0.0,0.0,26.55,2,3,,"New York, NY",0.0
6,1.0,female,63.0,1.0,0.0,77.9583,2,10,,"Hudson, NY",1.0
7,0.0,male,39.0,0.0,0.0,0.0,2,,,"Belfast, NI",0.0
8,1.0,female,53.0,2.0,0.0,51.4792,2,D,,"Bayside, Queens, NY",1.0
9,0.0,male,71.0,0.0,0.0,49.5042,0,,22.0,"Montevideo, Uruguay",0.0
10,0.0,male,47.0,1.0,0.0,227.525,0,,124.0,"New York, NY",0.0
11,1.0,female,18.0,1.0,0.0,227.525,0,4,,"New York, NY",1.0
12,1.0,female,24.0,0.0,0.0,69.3,0,9,,"Paris, France",1.0
13,1.0,female,26.0,0.0,0.0,78.85,2,6,,,1.0
14,1.0,male,80.0,0.0,0.0,30.0,2,B,,"Hessle, Yorks",0.0
15,0.0,male,28.0,0.0,0.0,25.925,2,,,"New York, NY",0.0
16,0.0,male,24.0,0.0,1.0,247.5208,0,,,"Montreal, PQ",0.0
17,1.0,female,50.0,0.0,1.0,247.5208,0,6,,"Montreal, PQ",1.0
18,1.0,female,32.0,0.0,0.0,76.2917,0,8,,,1.0
19,0.0,male,36.0,0.0,0.0,75.2417,0,A,,"Winnipeg, MN",0.0
20,1.0,male,37.0,1.0,1.0,52.5542,2,5,,"New York, NY",0.0
21,1.0,female,47.0,1.0,1.0,52.5542,2,5,,"New York, NY",1.0
22,1.0,male,26.0,0.0,0.0,30.0,0,5,,"New York, NY",0.0
23,1.0,female,42.0,0.0,0.0,227.525,0,4,,,1.0
24,1.0,female,29.0,0.0,0.0,221.7792,2,8,,,1.0
25,0.0,male,25.0,0.0,0.0,26.0,0,,148.0,"San Francisco, CA",0.0
26,1.0,male,25.0,1.0,0.0,91.0792,0,7,,"Dowagiac, MI",0.0
27,1.0,female,19.0,1.0,0.0,91.0792,0,7,,"Dowagiac, MI",1.0
28,1.0,female,35.0,0.0,0.0,135.6333,2,8,,,1.0
29,1.0,male,28.0,0.0,0.0,26.55,2,D,,"Stockholm, Sweden / Washington, DC",0.0
30,0.0,male,45.0,0.0,0.0,35.5,2,,,"Trenton, NJ",0.0
31,1.0,male,40.0,0.0,0.0,31.0,0,7,,"Glen Ridge, NJ",0.0
32,1.0,female,30.0,0.0,0.0,164.8667,2,8,,"Youngstown, OH",1.0
33,1.0,female,58.0,0.0,0.0,26.55,2,8,,"Birkdale, England Cleveland, Ohio",1.0
34,0.0,male,42.0,0.0,0.0,26.55,2,,,"London / Winnipeg, MB",0.0
35,1.0,female,45.0,0.0,0.0,262.375,0,4,,"Cooperstown, NY",1.0
36,1.0,female,22.0,0.0,1.0,55.0,2,6,,"St Leonards-on-Sea, England Ohio",1.0
37,1.0,male,28.0,0.0,0.0,26.55,2,9,,"Los Angeles, CA",0.0
38,0.0,male,41.0,0.0,0.0,30.5,2,,,"Pomeroy, WA",0.0
39,0.0,male,48.0,0.0,0.0,50.4958,0,,208.0,"Omaha, NE",0.0
40,0.0,male,28.0,0.0,0.0,39.6,0,,,"Philadelphia, PA",0.0
41,1.0,female,44.0,0.0,0.0,27.7208,0,6,,"Denver, CO",1.0
42,1.0,female,59.0,2.0,0.0,51.4792,2,D,,"Belmont, MA",1.0
43,1.0,female,60.0,0.0,0.0,76.2917,0,8,,"Philadelphia, PA",1.0
44,1.0,female,41.0,0.0,0.0,134.5,0,3,,,1.0
45,0.0,male,45.0,0.0,0.0,26.55,2,,,"Washington, DC",0.0
46,0.0,male,28.0,0.0,0.0,31.0,2,,,,0.0
47,1.0,male,42.0,0.0,0.0,26.2875,2,5,,"New York, NY",0.0
48,1.0,female,53.0,0.0,0.0,27.4458,0,6,,"Washington, DC",1.0
49,1.0,male,36.0,0.0,1.0,512.3292,0,3,,"Austria-Hungary / Germantown, Philadelphia, PA",0.0
50,1.0,female,58.0,0.0,1.0,512.3292,0,3,,"Germantown, Philadelphia, PA",1.0
51,0.0,male,33.0,0.0,0.0,5.0,2,,,"New York, NY",0.0
52,0.0,male,28.0,0.0,0.0,47.1,2,,,"Montevideo, Uruguay",0.0
53,0.0,male,17.0,0.0,0.0,47.1,2,,,"Montevideo, Uruguay",0.0
54,1.0,male,11.0,1.0,2.0,120.0,2,4,,"Bryn Mawr, PA",0.0
55,1.0,female,14.0,1.0,2.0,120.0,2,4,,"Bryn Mawr, PA",1.0
56,1.0,male,36.0,1.0,2.0,120.0,2,C,,"Bryn Mawr, PA",0.0
57,1.0,female,36.0,1.0,2.0,120.0,2,4,,"Bryn Mawr, PA",1.0
58,0.0,male,49.0,0.0,0.0,26.0,2,,,"Ascot, Berkshire / Rochester, NY",0.0
59,1.0,female,28.0,0.0,0.0,27.7208,0,5,,"New York, NY",1.0
60,0.0,male,36.0,1.0,0.0,78.85,2,,172.0,"Little Onn Hall, Staffs",0.0
61,1.0,female,76.0,1.0,0.0,78.85,2,6,,"Little Onn Hall, Staffs",1.0
62,0.0,male,46.0,1.0,0.0,61.175,2,,,"Amenia, ND",0.0
63,1.0,female,47.0,1.0,0.0,61.175,2,4,,"Amenia, ND",1.0
64,1.0,male,27.0,1.0,0.0,53.1,2,5,,"New York, NY / Ithaca, NY",0.0
65,1.0,female,33.0,1.0,0.0,53.1,2,5,,"New York, NY / Ithaca, NY",1.0
66,1.0,female,36.0,0.0,0.0,262.375,0,4,,,1.0
67,1.0,female,30.0,0.0,0.0,86.5,2,8,,"London, England",1.0
68,1.0,male,45.0,0.0,0.0,29.7,0,7,,"Paris, France",0.0
69,1.0,female,28.0,0.0,1.0,55.0,2,6,,"St Leonards-on-Sea, England Ohio",1.0
70,0.0,male,28.0,0.0,0.0,0.0,2,,,"Liverpool, England / Belfast",0.0
71,0.0,male,27.0,1.0,0.0,136.7792,0,,,"Los Angeles, CA",0.0
72,1.0,female,26.0,1.0,0.0,136.7792,0,4,,"Los Angeles, CA",1.0
73,1.0,female,22.0,0.0,0.0,151.55,2,11,,,1.0
74,0.0,male,28.0,0.0,0.0,52.0,2,,,"Stoughton, MA",0.0
75,0.0,male,47.0,0.0,0.0,25.5875,2,,,"Victoria, BC",0.0
76,1.0,female,39.0,1.0,1.0,83.1583,0,14,,"Lakewood, NJ",1.0
77,0.0,male,37.0,1.0,1.0,83.1583,0,,,"Lakewood, NJ",0.0
78,1.0,female,64.0,0.0,2.0,83.1583,0,14,,"Lakewood, NJ",1.0
79,1.0,female,55.0,2.0,0.0,25.7,2,2,,"New York, NY",1.0
80,0.0,male,28.0,0.0,0.0,26.55,2,,,"Roachdale, IN",0.0
81,0.0,male,70.0,1.0,1.0,71.0,2,,269.0,"Milwaukee, WI",0.0
82,1.0,female,36.0,0.0,2.0,71.0,2,7,,"Milwaukee, WI",1.0
83,1.0,female,64.0,1.0,1.0,26.55,2,7,,"Milwaukee, WI",1.0
84,0.0,male,39.0,1.0,0.0,71.2833,0,,,"New York, NY",0.0
85,1.0,female,38.0,1.0,0.0,71.2833,0,4,,"New York, NY",1.0
86,1.0,male,51.0,0.0,0.0,26.55,2,5 9,,"Lima, Peru",0.0
87,1.0,male,27.0,0.0,0.0,30.5,2,3,,"Philadelphia, PA",0.0
88,1.0,female,33.0,0.0,0.0,151.55,2,8,,,1.0
89,0.0,male,31.0,1.0,0.0,52.0,2,,,"Montreal, PQ",0.0
90,1.0,female,27.0,1.0,2.0,52.0,2,3,,"Montreal, PQ",1.0
91,1.0,male,31.0,1.0,0.0,57.0,2,3,,"Calgary, AB",0.0
92,1.0,female,17.0,1.0,0.0,57.0,2,3,,"Calgary, AB",1.0
93,1.0,male,53.0,1.0,1.0,81.8583,2,13,,"San Francisco, CA",0.0
94,1.0,male,4.0,0.0,2.0,81.8583,2,5,,"San Francisco, CA",0.0
95,1.0,female,54.0,1.0,1.0,81.8583,2,5,,"San Francisco, CA",1.0
96,0.0,male,50.0,1.0,0.0,106.425,0,,62.0,"Deephaven, MN / Cedar Rapids, IA",0.0
97,1.0,female,27.0,1.0,1.0,247.5208,0,6,,"Montreal, PQ",1.0
98,1.0,female,48.0,1.0,0.0,106.425,0,2,,"Deephaven, MN / Cedar Rapids, IA",1.0
99,1.0,female,48.0,1.0,0.0,39.6,0,1,,London / Paris,1.0
100,1.0,male,49.0,1.0,0.0,56.9292,0,1,,London / Paris,0.0
101,0.0,male,39.0,0.0,0.0,29.7,0,,133.0,"Philadelphia, PA",0.0
102,1.0,female,23.0,0.0,1.0,83.1583,0,7,,"Mt Airy, Philadelphia, PA",1.0
103,1.0,female,38.0,0.0,0.0,227.525,0,4,,"New York, NY",1.0
104,1.0,female,54.0,1.0,0.0,78.2667,0,4,,"Brookline, MA",1.0
105,0.0,female,36.0,0.0,0.0,31.6792,0,,,"New York, NY",1.0
106,0.0,male,28.0,0.0,0.0,221.7792,2,,,,0.0
107,1.0,female,28.0,0.0,0.0,31.6833,2,7,,"New York, NY",1.0
108,1.0,female,28.0,0.0,0.0,110.8833,0,4,,,1.0
109,1.0,male,36.0,0.0,0.0,26.3875,2,5,,"Brooklyn, NY",0.0
110,0.0,male,30.0,0.0,0.0,27.75,0,,,"New York, NY",0.0
111,1.0,female,24.0,3.0,2.0,263.0,2,10,,"Winnipeg, MB",1.0
112,1.0,female,28.0,3.0,2.0,263.0,2,10,,"Winnipeg, MB",1.0
113,1.0,female,23.0,3.0,2.0,263.0,2,10,,"Winnipeg, MB",1.0
114,0.0,male,19.0,3.0,2.0,263.0,2,,,"Winnipeg, MB",0.0
115,0.0,male,64.0,1.0,4.0,263.0,2,,,"Winnipeg, MB",0.0
116,1.0,female,60.0,1.0,4.0,263.0,2,10,,"Winnipeg, MB",1.0
117,1.0,female,30.0,0.0,0.0,56.9292,0,1,,,1.0
118,0.0,male,28.0,0.0,0.0,26.55,2,,,"Westcliff-on-Sea, Essex",0.0
119,1.0,male,50.0,2.0,0.0,133.65,2,5,,"New York, NY",0.0
120,1.0,male,43.0,1.0,0.0,27.7208,0,5,,"New York, NY",0.0
121,1.0,female,28.0,1.0,0.0,133.65,2,5,,"New York, NY",1.0
122,1.0,female,22.0,0.0,2.0,49.5,0,5,,"Zurich, Switzerland",1.0
123,1.0,male,60.0,1.0,1.0,79.2,0,5,,"Zurich, Switzerland",0.0
124,1.0,female,48.0,1.0,1.0,79.2,0,5,,"Zurich, Switzerland",1.0
125,0.0,male,28.0,0.0,0.0,0.0,2,,,,0.0
126,0.0,male,37.0,1.0,0.0,53.1,2,,,"Scituate, MA",0.0
127,1.0,female,35.0,1.0,0.0,53.1,2,D,,"Scituate, MA",1.0
128,0.0,male,47.0,0.0,0.0,38.5,2,,275.0,"St Anne's-on-Sea, Lancashire",0.0
129,1.0,female,35.0,0.0,0.0,211.5,0,4,,,1.0
130,1.0,female,22.0,0.0,1.0,59.4,0,7,,"New York, NY",1.0
131,1.0,female,45.0,0.0,1.0,59.4,0,7,,"New York, NY",1.0
132,0.0,male,24.0,0.0,0.0,79.2,0,,,,0.0
133,1.0,male,49.0,1.0,0.0,89.1042,0,5,,"Paris, France / New York, NY",0.0
134,1.0,female,28.0,1.0,0.0,89.1042,0,5,,"Paris, France / New York, NY",1.0
135,0.0,male,71.0,0.0,0.0,34.6542,0,,,"New York, NY",0.0
136,1.0,male,53.0,0.0,0.0,28.5,0,B,,"Washington, DC",0.0
137,1.0,female,19.0,0.0,0.0,30.0,2,3,,"Greenwich, CT",1.0
138,0.0,male,38.0,0.0,1.0,153.4625,2,,147.0,"Winnipeg, MB",0.0
139,1.0,female,58.0,0.0,1.0,153.4625,2,3,,"Greenwich, CT",1.0
140,1.0,male,23.0,0.0,1.0,63.3583,0,7,,"New York, NY",0.0
141,1.0,female,45.0,0.0,1.0,63.3583,0,7,,"New York, NY",1.0
142,0.0,male,46.0,0.0,0.0,79.2,0,,,"New York, NY",0.0
143,1.0,male,25.0,1.0,0.0,55.4417,0,5,,"Brooklyn, NY",0.0
144,1.0,female,25.0,1.0,0.0,55.4417,0,5,,"Brooklyn, NY",1.0
145,1.0,male,48.0,1.0,0.0,76.7292,0,3,,"New York, NY",0.0
146,1.0,female,49.0,1.0,0.0,76.7292,0,3,,"New York, NY",1.0
147,0.0,male,28.0,0.0,0.0,42.4,2,,,,0.0
148,0.0,male,45.0,1.0,0.0,83.475,2,,,"New York, NY",0.0
149,1.0,female,35.0,1.0,0.0,83.475,2,D,,"New York, NY",1.0
150,0.0,male,40.0,0.0,0.0,0.0,2,,110.0,,0.0
151,1.0,male,27.0,0.0,0.0,76.7292,0,3,,,0.0
152,1.0,male,28.0,0.0,0.0,30.0,2,3,,"Kingston, Surrey",0.0
153,1.0,female,24.0,0.0,0.0,83.1583,0,7,,"New York, NY",1.0
154,0.0,male,55.0,1.0,1.0,93.5,2,,307.0,"Montreal, PQ",0.0
155,1.0,female,52.0,1.0,1.0,93.5,2,3,,"Montreal, PQ",1.0
156,0.0,male,42.0,0.0,0.0,42.5,2,,,London / Middlesex,0.0
157,0.0,male,28.0,0.0,0.0,51.8625,2,,,"Brighton, MA",0.0
158,0.0,male,55.0,0.0,0.0,50.0,2,,,London / Birmingham,0.0
159,1.0,female,16.0,0.0,1.0,57.9792,0,4,,"Chicago, IL",1.0
160,1.0,female,44.0,0.0,1.0,57.9792,0,4,,"Chicago, IL",1.0
161,1.0,female,51.0,1.0,0.0,77.9583,2,10,,"Hudson, NY",1.0
162,0.0,male,42.0,1.0,0.0,52.0,2,,38.0,"New York, NY",0.0
163,1.0,female,35.0,1.0,0.0,52.0,2,8,,"New York, NY",1.0
164,1.0,male,35.0,0.0,0.0,26.55,0,15,,"Indianapolis, IN",0.0
165,1.0,male,38.0,1.0,0.0,90.0,2,D,,"New York, NY /  Stamford CT",0.0
166,0.0,male,28.0,0.0,0.0,30.6958,0,14,,"New York, NY",0.0
167,1.0,female,35.0,1.0,0.0,90.0,2,D,,"New York, NY /  Stamford CT",1.0
168,1.0,female,38.0,0.0,0.0,80.0,2,6,,,1.0
169,0.0,female,50.0,0.0,0.0,28.7125,0,,,"Paris, France New York, NY",1.0
170,1.0,male,49.0,0.0,0.0,0.0,2,C,,Liverpool,0.0
171,0.0,male,46.0,0.0,0.0,26.0,2,,80.0,"Bennington, VT",0.0
172,0.0,male,50.0,0.0,0.0,26.0,2,,,London,0.0
173,0.0,male,32.5,0.0,0.0,211.5,0,,45.0,,0.0
174,0.0,male,58.0,0.0,0.0,29.7,0,,258.0,"Buffalo, NY",0.0
175,0.0,male,41.0,1.0,0.0,51.8625,2,,,"Southington / Noank, CT",0.0
176,1.0,female,28.0,1.0,0.0,51.8625,2,8,,"Southington / Noank, CT",1.0
177,1.0,male,42.0,1.0,0.0,52.5542,2,5,,"Boston, MA",0.0
178,1.0,female,45.0,1.0,0.0,52.5542,2,5,,"Boston, MA",1.0
179,0.0,male,28.0,0.0,0.0,26.55,2,,,"Portland, OR",0.0
180,1.0,female,39.0,0.0,0.0,211.3375,2,2,,,1.0
181,1.0,female,49.0,0.0,0.0,25.9292,2,8,,"New York, NY",1.0
182,1.0,female,30.0,0.0,0.0,106.425,0,2,,,1.0
183,1.0,male,35.0,0.0,0.0,512.3292,0,3,,,0.0
184,0.0,male,28.0,0.0,0.0,27.7208,0,,,"Chicago, IL",0.0
185,0.0,male,42.0,0.0,0.0,26.55,2,,,"Stockholm, Sweden",0.0
186,1.0,female,55.0,0.0,0.0,27.7208,0,6,,"Stockholm, Sweden",1.0
187,1.0,female,16.0,0.0,1.0,39.4,2,9,,"Paris, France",1.0
188,1.0,female,51.0,0.0,1.0,39.4,2,9,,"Paris, France",1.0
189,0.0,male,29.0,0.0,0.0,30.0,2,,126.0,"Springfield, MA",0.0
190,1.0,female,21.0,0.0,0.0,77.9583,2,10,,"Hudson, NY",1.0
191,0.0,male,30.0,0.0,0.0,45.5,2,,,"London / New York, NY",0.0
192,1.0,female,58.0,0.0,0.0,146.5208,0,,,,1.0
193,1.0,female,15.0,0.0,1.0,211.3375,2,2,,"St Louis, MO",1.0
194,0.0,male,30.0,0.0,0.0,26.0,2,,,"Brockton, MA",0.0
195,1.0,female,16.0,0.0,0.0,86.5,2,8,,,1.0
196,1.0,male,28.0,0.0,0.0,29.7,0,7,,"Paris, France",0.0
197,0.0,male,19.0,1.0,0.0,53.1,2,,,"New York, NY",0.0
198,1.0,female,18.0,1.0,0.0,53.1,2,10,,"New York, NY",1.0
199,1.0,female,24.0,0.0,0.0,49.5042,0,6,,"Belgium  Montreal, PQ",1.0
200,0.0,male,46.0,0.0,0.0,75.2417,0,,292.0,"Vancouver, BC",0.0
201,0.0,male,54.0,0.0,0.0,51.8625,2,,175.0,"Dorchester, MA",0.0
202,1.0,male,36.0,0.0,0.0,26.2875,2,7,,"Philadelphia, PA",0.0
203,0.0,male,28.0,1.0,0.0,82.1708,0,,,"New York, NY",0.0
204,1.0,female,28.0,1.0,0.0,82.1708,0,6,,"New York, NY",1.0
205,0.0,male,65.0,0.0,0.0,26.55,2,,249.0,"East Bridgewater, MA",0.0
206,0.0,male,44.0,2.0,0.0,90.0,1,,230.0,"Fond du Lac, WI",0.0
207,1.0,female,33.0,1.0,0.0,90.0,1,14,,"Green Bay, WI",1.0
208,1.0,female,37.0,1.0,0.0,90.0,1,14,,"Fond du Lac, WI",1.0
209,1.0,male,30.0,1.0,0.0,57.75,0,11,,"New York, NY",0.0
210,0.0,male,55.0,0.0,0.0,30.5,2,,,"Montreal, PQ",0.0
211,0.0,male,47.0,0.0,0.0,42.4,2,,,"Washington, DC",0.0
212,0.0,male,37.0,0.0,1.0,29.7,0,,,"Brooklyn, NY",0.0
213,1.0,female,31.0,1.0,0.0,113.275,0,6,,"Lexington, MA",1.0
214,1.0,female,23.0,1.0,0.0,113.275,0,6,,"Lexington, MA",1.0
215,0.0,male,58.0,0.0,2.0,113.275,0,,122.0,"Lexington, MA",0.0
216,1.0,female,19.0,0.0,2.0,26.2833,2,5,,"New York, NY",1.0
217,0.0,male,64.0,0.0,0.0,26.0,2,,263.0,"Isle of Wight, England",0.0
218,1.0,female,39.0,0.0,0.0,108.9,0,8,,,1.0
219,1.0,male,28.0,0.0,0.0,25.7417,0,7,,"Paris, France",0.0
220,1.0,female,22.0,0.0,1.0,61.9792,0,5,,"Providence, RI",1.0
221,0.0,male,65.0,0.0,1.0,61.9792,0,,234.0,"Providence, RI",0.0
222,0.0,male,28.5,0.0,0.0,27.7208,0,,189.0,"?Havana, Cuba",0.0
223,0.0,male,28.0,0.0,0.0,0.0,2,,,Belfast,0.0
224,0.0,male,45.5,0.0,0.0,28.5,2,,166.0,"Surbiton Hill, Surrey",0.0
225,0.0,male,23.0,0.0,0.0,93.5,2,,,"Montreal, PQ",0.0
226,0.0,male,29.0,1.0,0.0,66.6,2,,,"Isleworth, England",0.0
227,1.0,female,22.0,1.0,0.0,66.6,2,8,,"Isleworth, England",1.0
228,0.0,male,18.0,1.0,0.0,108.9,0,,,"Madrid, Spain",0.0
229,1.0,female,17.0,1.0,0.0,108.9,0,8,,"Madrid, Spain",1.0
230,1.0,female,30.0,0.0,0.0,93.5,2,3,,,1.0
231,1.0,male,52.0,0.0,0.0,30.5,2,6,,"Toronto, ON",0.0
232,0.0,male,47.0,0.0,0.0,52.0,2,,207.0,"Worcester, MA",0.0
233,1.0,female,56.0,0.0,1.0,83.1583,0,7,,"Mt Airy, Philadelphia, PA",1.0
234,0.0,male,38.0,0.0,0.0,0.0,2,,,"Rotterdam, Netherlands",0.0
235,1.0,male,28.0,0.0,0.0,39.6,2,A,,"Paris /  New York, NY",0.0
236,0.0,male,22.0,0.0,0.0,135.6333,0,,232.0,,0.0
237,0.0,male,28.0,0.0,0.0,227.525,0,,,,0.0
238,1.0,female,43.0,0.0,1.0,211.3375,2,2,,"St Louis, MO",1.0
239,0.0,male,31.0,0.0,0.0,50.4958,2,,,"Trenton, NJ",0.0
240,1.0,male,45.0,0.0,0.0,26.55,2,9,,"New York, NY",0.0
241,0.0,male,28.0,0.0,0.0,50.0,2,,,"Seattle, WA",0.0
242,1.0,female,33.0,0.0,0.0,27.7208,0,11,,"Paris, France",1.0
243,0.0,male,46.0,0.0,0.0,79.2,0,,16.0,"New York, NY",0.0
244,0.0,male,36.0,0.0,0.0,40.125,0,,,"Winnipeg, MB",0.0
245,1.0,female,33.0,0.0,0.0,86.5,2,8,,"London  Vancouver, BC",1.0
246,0.0,male,55.0,1.0,0.0,59.4,0,,,"New York, NY",0.0
247,1.0,female,54.0,1.0,0.0,59.4,0,6,,"New York, NY",1.0
248,0.0,male,33.0,0.0,0.0,26.55,2,,109.0,London,0.0
249,1.0,male,13.0,2.0,2.0,262.375,0,4,,"Haverford, PA / Cooperstown, NY",0.0
250,1.0,female,18.0,2.0,2.0,262.375,0,4,,"Haverford, PA / Cooperstown, NY",1.0
251,1.0,female,21.0,2.0,2.0,262.375,0,4,,"Haverford, PA / Cooperstown, NY",1.0
252,0.0,male,61.0,1.0,3.0,262.375,0,,,"Haverford, PA / Cooperstown, NY",0.0
253,1.0,female,48.0,1.0,3.0,262.375,0,4,,"Haverford, PA / Cooperstown, NY",1.0
254,1.0,male,28.0,0.0,0.0,30.5,2,3,,"Manchester, England",0.0
255,1.0,female,24.0,0.0,0.0,69.3,0,9,,,1.0
256,1.0,male,28.0,0.0,0.0,26.0,2,1,,"New York, NY",0.0
257,1.0,female,35.0,1.0,0.0,57.75,0,11,,"New York, NY",1.0
258,1.0,female,30.0,0.0,0.0,31.0,0,4,,,1.0
259,1.0,male,34.0,0.0,0.0,26.55,2,7,,"New York, NY",0.0
260,1.0,female,40.0,0.0,0.0,153.4625,2,3,,"New York, NY / Greenwich CT",1.0
261,1.0,male,35.0,0.0,0.0,26.2875,2,5,,"St Louis, MO",0.0
262,0.0,male,50.0,1.0,0.0,55.9,2,,,"Duluth, MN",0.0
263,1.0,female,39.0,1.0,0.0,55.9,2,11,,"Duluth, MN",1.0
264,1.0,male,56.0,0.0,0.0,35.5,0,3,,"Basel, Switzerland",0.0
265,1.0,male,28.0,0.0,0.0,35.5,2,7,,"New Britain, CT",0.0
266,0.0,male,56.0,0.0,0.0,26.55,2,,,"New York, NY",0.0
267,0.0,male,56.0,0.0,0.0,30.6958,0,,,"St James, Long Island, NY",0.0
268,0.0,male,24.0,1.0,0.0,60.0,2,,,"Huntington, WV",0.0
269,0.0,male,28.0,0.0,0.0,26.0,2,,,"Streatham, Surrey",0.0
270,1.0,female,18.0,1.0,0.0,60.0,2,6,,"Huntington, WV",1.0
271,1.0,male,24.0,1.0,0.0,82.2667,2,7,,"Minneapolis, MN",0.0
272,1.0,female,23.0,1.0,0.0,82.2667,2,7,,"Minneapolis, MN",1.0
273,1.0,male,6.0,0.0,2.0,134.5,0,3,,"Tuxedo Park, NY",0.0
274,1.0,male,45.0,1.0,1.0,134.5,0,3,,"Tuxedo Park, NY",0.0
275,1.0,female,40.0,1.0,1.0,134.5,0,3,,"Tuxedo Park, NY",1.0
276,0.0,male,57.0,1.0,0.0,146.5208,0,,,"Paris, France",0.0
277,1.0,female,28.0,1.0,0.0,146.5208,0,6,,"Paris, France",1.0
278,1.0,male,32.0,0.0,0.0,30.5,0,3,,"Basel, Switzerland",0.0
279,0.0,male,62.0,0.0,0.0,26.55,2,,,"Wimbledon Park, London / Hayling Island, Hants",0.0
280,1.0,male,54.0,1.0,0.0,55.4417,0,1,,"Newark, NJ",0.0
281,1.0,female,43.0,1.0,0.0,55.4417,0,5,,"Newark, NJ",1.0
282,1.0,female,52.0,1.0,0.0,78.2667,0,4,,"Haverford, PA",1.0
283,0.0,male,28.0,0.0,0.0,27.7208,0,,,"Gallipolis, Ohio / ? Paris / New York",0.0
284,1.0,female,62.0,0.0,0.0,80.0,2,6,,"Cincinatti, OH",1.0
285,0.0,male,67.0,1.0,0.0,221.7792,2,,96.0,"New York, NY",0.0
286,0.0,female,63.0,1.0,0.0,221.7792,2,,,"New York, NY",1.0
287,0.0,male,61.0,0.0,0.0,32.3208,2,,46.0,"Haddenfield, NJ",0.0
288,1.0,female,48.0,0.0,0.0,25.9292,2,8,,"Brooklyn, NY",1.0
289,1.0,female,18.0,0.0,2.0,79.65,2,8,,"New York, NY",1.0
290,0.0,male,52.0,1.0,1.0,79.65,2,,,"New York, NY",0.0
291,1.0,female,39.0,1.0,1.0,79.65,2,8,,"New York, NY",1.0
292,1.0,male,48.0,1.0,0.0,52.0,2,5 7,,"London /  East Orange, NJ",0.0
293,1.0,female,28.0,1.0,0.0,52.0,2,5 7,,"London /  East Orange, NJ",1.0
294,0.0,male,49.0,1.0,1.0,110.8833,0,,,"Haverford, PA",0.0
295,1.0,male,17.0,0.0,2.0,110.8833,0,B,,"Haverford, PA",0.0
296,1.0,female,39.0,1.0,1.0,110.8833,0,4,,"Haverford, PA",1.0
297,1.0,female,28.0,0.0,0.0,79.2,0,D,,"New York, NY",1.0
298,1.0,male,31.0,0.0,0.0,28.5375,0,7,,"Albany, NY",0.0
299,0.0,male,40.0,0.0,0.0,27.7208,0,,,"Mexico City, Mexico",0.0
300,0.0,male,61.0,0.0,0.0,33.5,2,,245.0,"Brooklyn, NY",0.0
301,0.0,male,47.0,0.0,0.0,34.0208,2,,,"East Orange, NJ",0.0
302,1.0,female,35.0,0.0,0.0,512.3292,0,3,,,1.0
